1000, 20, 71.39
1000, 20, 72.55
1000, 20, 72.29
2000, 20, 80.24
2000, 20, 77.36
2000, 20, 80.56
3000, 20, 82.55
3000, 20, 80.89
3000, 20, 82.94
4000, 20, 83.52
4000, 20, 84.09
4000, 20, 85.25
5000, 20, 85.82
5000, 20, 84.22
5000, 20, 84.80
6000, 20, 84.73
6000, 20, 85.89
6000, 20, 84.80
7000, 20, 84.99
7000, 20, 85.76
7000, 20, 86.66
8000, 20, 86.91
8000, 20, 85.95
8000, 20, 86.21
9000, 20, 86.85
9000, 20, 85.57
9000, 20, 86.47
10000, 20, 87.49
10000, 20, 86.08
10000, 20, 86.53
1000, 30, 71.46
1000, 30, 72.42
1000, 30, 72.48
2000, 30, 80.56
2000, 30, 78.38
2000, 30, 80.12
3000, 30, 81.78
3000, 30, 83.77
3000, 30, 81.14
4000, 30, 83.32
4000, 30, 84.03
4000, 30, 83.45
5000, 30, 84.80
5000, 30, 84.41
5000, 30, 85.76
6000, 30, 85.44
6000, 30, 85.57
6000, 30, 85.25
7000, 30, 85.57
7000, 30, 84.48
7000, 30, 85.76
8000, 30, 85.89
8000, 30, 86.66
8000, 30, 85.70
9000, 30, 86.85
9000, 30, 86.66
9000, 30, 86.79
10000, 30, 87.43
10000, 30, 87.56
10000, 30, 87.11
1000, 40, 72.67
1000, 40, 69.47
1000, 40, 69.98
2000, 40, 79.92
2000, 40, 77.61
2000, 40, 79.47
3000, 40, 82.36
3000, 40, 81.98
3000, 40, 81.40
4000, 40, 83.45
4000, 40, 83.58
4000, 40, 84.28
5000, 40, 84.54
5000, 40, 84.80
5000, 40, 85.63
6000, 40, 85.50
6000, 40, 84.35
6000, 40, 85.25
7000, 40, 85.76
7000, 40, 86.27
7000, 40, 85.05
8000, 40, 85.70
8000, 40, 86.40
8000, 40, 86.53
9000, 40, 86.08
9000, 40, 87.36
9000, 40, 86.02
10000, 40, 87.24
10000, 40, 87.81
10000, 40, 87.62
1000, 50, 71.14
1000, 50, 73.25
1000, 50, 71.20
2000, 50, 79.79
2000, 50, 77.93
2000, 50, 81.27
3000, 50, 81.08
3000, 50, 80.50
3000, 50, 80.82
4000, 50, 83.32
4000, 50, 84.16
4000, 50, 83.71
5000, 50, 84.03
5000, 50, 83.07
5000, 50, 84.67
6000, 50, 85.57
6000, 50, 84.99
6000, 50, 85.05
7000, 50, 84.93
7000, 50, 85.57
7000, 50, 87.49
8000, 50, 85.95
8000, 50, 87.36
8000, 50, 86.02
9000, 50, 86.40
9000, 50, 86.27
9000, 50, 86.40
10000, 50, 85.89
10000, 50, 86.02
10000, 50, 87.94
1000, 60, 70.81
1000, 60, 72.35
1000, 60, 69.15
2000, 60, 79.41
2000, 60, 75.37
2000, 60, 78.83
3000, 60, 83.19
3000, 60, 82.94
3000, 60, 80.69
4000, 60, 84.73
4000, 60, 83.00
